tas,"	Year", Month, Country, ISO3, ISO2
4.90241,1984,4,USA,,
11.8033,1984,5,USA,,
17.4412,1984,6,USA,,
19.717,1984,7,USA,,
19.1851,1984,8,USA,,
14.0351,1984,9,USA,,
7.75339,1984,10,USA,,
-0.1513,1984,11,USA,,
-3.621,1984,12,USA,,
-5.4823,1985,1,USA,,
-6.0352,1985,2,USA,,
1.05452,1985,3,USA,,
5.93257,1985,4,USA,,
12.7881,1985,5,USA,,
16.6846,1985,6,USA,,
20.2766,1985,7,USA,,
18.4075,1985,8,USA,,
13.6041,1985,9,USA,,
7.31499,1985,10,USA,,
-1.0178,1985,11,USA,,
-4.6609,1985,12,USA,,
-3.7208,1986,1,USA,,
-2.5466,1986,2,USA,,
1.51993,1986,3,USA,,
5.91109,1986,4,USA,,
12.43,1986,5,USA,,
18.1056,1986,6,USA,,
20.0072,1986,7,USA,,
18.5562,1986,8,USA,,
14.3312,1986,9,USA,,
7.90604,1986,10,USA,,
0.0139,1986,11,USA,,
-2.3433,1986,12,USA,,
-4.6096,1987,1,USA,,
-2.118,1987,2,USA,,
0.84942,1987,3,USA,,
7.0299,1987,4,USA,,
13.5117,1987,5,USA,,
18.0176,1987,6,USA,,
20.0738,1987,7,USA,,
19.0358,1987,8,USA,,
14.5858,1987,9,USA,,
8.09946,1987,10,USA,,
1.39349,1987,11,USA,,
-3.6442,1987,12,USA,,
-6.3099,1988,1,USA,,
-3.7391,1988,2,USA,,
0.776,1988,3,USA,,
6.66377,1988,4,USA,,
13.031,1988,5,USA,,
18.4131,1988,6,USA,,
20.7722,1988,7,USA,,
19.6239,1988,8,USA,,
14.4016,1988,9,USA,,
6.98832,1988,10,USA,,
0.07445,1988,11,USA,,
-3.4565,1988,12,USA,,
-6.3459,1989,1,USA,,
-4.9024,1989,2,USA,,
0.28794,1989,3,USA,,
7.42177,1989,4,USA,,
12.2113,1989,5,USA,,
17.1234,1989,6,USA,,
20.5712,1989,7,USA,,
19.1379,1989,8,USA,,
14.7284,1989,9,USA,,
8.13737,1989,10,USA,,
-0.3511,1989,11,USA,,
-5.8152,1989,12,USA,,
-3.7649,1990,1,USA,,
-5.033,1990,2,USA,,
2.01738,1990,3,USA,,
7.61399,1990,4,USA,,
12.3098,1990,5,USA,,
18.158,1990,6,USA,,
20.2991,1990,7,USA,,
19.3864,1990,8,USA,,
15.6484,1990,9,USA,,
7.79971,1990,10,USA,,
0.77013,1990,11,USA,,
-5.748,1990,12,USA,,
